Date,X_Personal_Followers,X_Personal_Following,X_Biz_Followers,X_Biz_Following,LI_Oli_Status,LI_Lisa_Status,Agency_Leads_Total,Agency_Leads_Week,BI_Leads_Total,BI_Leads_Week
2026-03-27,?,?,?,?,VALID,VALID,40,4,119,107
2026-04-03,?,?,?,?,VALID,VALID,40,0,493,424
2026-04-10,?,?,?,?,VALID,VALID,40,0,554,82
2026-04-17,?,?,?,?,VALID,VALID,40,0,593,44
2026-04-24,?,?,?,?,VALID,VALID,40,0,593,0
2026-05-01,?,?,?,?,VALID,VALID,40,0,610,17
2026-05-08,?,?,?,?,EXPIRED,VALID,40,0,610,0
2026-05-15,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-05-22,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-05-29,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-06-05,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-06-12,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-06-19,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-06-26,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-07-03,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-07-10,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-07-17,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-07-24,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
2026-07-31,?,?,?,?,EXPIRED,EXPIRED,40,0,610,0
